yearBuilt,longitude,latitude,price,bedrooms,bathrooms,area
-1.0,-74.005309,40.738266,"$4,500/mo",2.0,1.0,
-1.0,-74.002481,40.73519,"$4,100/mo",2.0,1.0,
-1.0,-74.003943,40.733285,"$2,495/mo",1.0,1.0,
-1.0,-74.00157,40.730042,"$4,000/mo",1.0,1.0,
-1.0,-74.002138,40.732374,"$2,795/mo",1.0,1.0,
-1.0,-74.004478,40.736943,"$4,492/mo",2.0,1.0,
-1.0,-74.005855,40.735026,"$3,500/mo",1.0,1.0,
-1.0,-74.006435,40.733995,"$2,995/mo",1.0,1.0,420.0
-1.0,-74.007646,40.732362,"$5,165/mo",0.0,2.0,680.0
-1.0,-74.006649,40.733928,"$3,725/mo",1.0,1.0,
-1.0,-74.003948,40.732433,"$4,595/mo",1.0,1.0,850.0
-1.0,-74.003199,40.736449,"$3,300/mo",1.0,1.0,600.0
-1.0,-74.00166,40.734675,"$3,694/mo",1.0,1.0,
1926.0,-74.005691,40.73098,"$4,100/mo",1.0,1.0,
-1.0,-74.005607,40.734058,"$2,895/mo",1.0,1.0,
-1.0,-74.007775,40.734197,"$4,300/mo",1.0,1.0,
-1.0,-74.005257,40.733439,"$3,350/mo",1.0,1.0,
-1.0,-74.00222,40.73801,"$3,950/mo",1.0,1.0,800.0
-1.0,-74.004391,40.734913,"$3,695/mo",1.0,1.0,600.0
-1.0,-74.003323,40.737368,"$3,750/mo",2.0,1.0,900.0
-1.0,-74.004497,40.731826,"$3,010/mo",1.0,1.0,325.0
-1.0,-74.000801,40.734426,"$3,950/mo",1.0,1.0,500.0
-1.0,-74.001836,40.732765,"$3,200/mo",0.0,1.0,392.0
-1.0,-74.003425,40.737581,"$2,850/mo",1.0,1.0,
-1.0,-74.005673,40.73472,"$4,195/mo",2.0,1.0,
1915.0,-74.007543,40.738576,"$3,400/mo",1.0,1.0,
-1.0,-73.980997,40.742394,"$3,695/mo",2.0,1.0,675.0
-1.0,-73.976365,40.746101,"$3,275/mo",3.0,1.0,
1985.0,-73.980479,40.741248,"$2,525/mo",0.0,1.0,
-1.0,-73.980655,40.747411,"$3,479/mo",1.0,1.0,720.0
-1.0,-73.977387,40.743174,"$1,995/mo",0.0,1.0,
-1.0,-73.985037,40.746957,"$3,150/mo",2.0,1.0,
-1.0,-73.98105,40.747689,"$4,629/mo",2.0,1.0,1020.0
-1.0,-73.977852,40.747854,"$2,400/mo",0.0,1.0,
1880.0,-73.977829,40.744569,"$2,800/mo",1.0,1.0,
-1.0,-73.977476,40.74729,"$1,850/mo",0.0,1.0,
-1.0,-73.977016,40.748801,"$5,900/mo",3.0,2.0,
1920.0,-73.982688,40.743304,"$5,250/mo",1.0,1.0,1002.0
-1.0,-73.976299,40.749305,"$3,800/mo",1.0,1.0,725.0
-1.0,-73.977569,40.744866,"$3,595/mo",2.0,1.0,
1928.0,-73.97051,40.748641,"$2,250/mo",0.0,1.0,300.0
-1.0,-73.967426,40.753584,"$2,095/mo",0.0,1.0,
1985.0,-73.972312,40.755126,"$2,850/mo",0.0,1.0,463.0
-1.0,-73.967502,40.753379,"$2,095/mo",0.0,1.0,
1959.0,-73.968368,40.753744,"$2,100/mo",0.0,1.0,
-1.0,-73.972731,40.752267,"$7,095/mo",4.0,2.0,1350.0
1930.0,-73.967168,40.753038,"$4,800/mo",1.0,1.0,950.0
-1.0,-73.970482,40.750555,"$2,485/mo",0.0,1.0,
1983.0,-73.971255,40.750559,"$7,077/mo",3.0,2.5,1700.0
-1.0,-73.970848,40.752834,"$3,995/mo",2.0,1.0,
-1.0,-73.970174,40.751318,"$3,495/mo",1.0,1.0,
-1.0,-73.974622,40.751879,"$1,950/mo",0.0,1.0,
-1.0,-73.972823,40.75216,"$3,745/mo",1.0,1.0,
1956.0,-73.97126,40.753008,"$2,800/mo",0.0,1.0,500.0
-1.0,-73.972391,40.748879,"$1,850/mo",0.0,1.0,300.0
1939.0,-73.970946,40.75369,"$2,500/mo",0.0,1.0,490.0
1929.0,-73.971733,40.749472,"$2,995/mo",0.0,1.0,568.0
-1.0,-73.970328,40.750989,"$2,685/mo",0.0,1.0,
-1.0,-73.98027,40.752919,"$3,250/mo",2.0,1.0,
1985.0,-73.97244,40.755137,"$3,500/mo",1.0,1.0,707.0
-1.0,-73.970776,40.753945,"$2,550/mo",1.0,1.0,
1928.0,-73.969961,40.750008,"$4,250/mo",2.0,2.0,900.0
-1.0,-73.974179,40.753518,"$2,550/mo",0.0,1.0,
-1.0,-73.997647,40.755873,"$2,495/mo",1.0,1.0,
-1.0,-73.99618,40.754762,"$2,779/mo",1.0,1.0,
-1.0,-73.994069,40.755909,"$4,800/mo",2.0,2.0,1050.0
-1.0,-73.98412,40.750179,"$3,703/mo",1.0,1.0,
2013.0,-73.992558,40.755911,"$5,295/mo",2.0,2.0,
-1.0,-73.992675,40.756766,"$2,732/mo",1.0,1.0,
2006.0,-73.986032,40.752775,"$3,650/mo",0.0,1.0,560.0
-1.0,-73.993928,40.755669,"$1,995/mo",1.0,1.0,
-1.0,-73.994671,40.756549,"$3,400/mo",2.0,1.0,
-1.0,-73.982976,40.752437,"$7,500/mo",1.0,1.0,1074.0
-1.0,-73.984928,40.753161,"$6,850/mo",2.0,2.0,
-1.0,-73.985237,40.753271,"$3,550/mo",0.0,1.0,
-1.0,-73.994345,40.756341,"$7,791/mo",3.0,3.0,1421.0
2007.0,-73.994069,40.75591,"$4,600/mo",1.0,1.0,486.0
-1.0,-73.99436,40.756341,"$3,850/mo",1.0,1.0,
